Name,Year,Team,BA,OBP,SLG,OPS,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GDP,HBP,SH,SF,IBB,RISP,PHBA
Kim Kang-ryul,2024,Doosan Bears,,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kim Kang-ryul,2022,Doosan Bears,,0.0,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kim Kang-ryul,2021,Doosan Bears,,0.0,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kim Kang-ryul,2020,Doosan Bears,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kim Kang-ryul,2017,Doosan Bears,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
Kim Kang-ryul,2008,Doosan Bears,,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Kim Dong-gil,2011,Doosan Bears,0.0,0.5,0.0,0.5,6.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
Kim Dong-gil,2010,Doosan Bears,0.4,0.4,1.0,1.4,8.0,,5.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,,,,,
Kim Dong-joo,2013,Doosan Bears,0.256,0.356,0.317,0.673,28.0,101.0,82.0,6.0,21.0,2.0,0.0,1.0,9.0,1.0,0.0,10.0,9.0,26.0,4.0,5.0,0.0,4.0,0.0,0.194,0.0
Kim Dong-joo,2012,Doosan Bears,0.291,0.339,0.341,0.68,66.0,245.0,223.0,18.0,65.0,5.0,0.0,2.0,27.0,3.0,1.0,16.0,24.0,76.0,7.0,2.0,,,,,
Kim Dong-joo,2011,Doosan Bears,0.286,0.393,0.475,0.868,120.0,483.0,406.0,57.0,116.0,24.0,1.0,17.0,75.0,6.0,1.0,66.0,54.0,193.0,18.0,8.0,,,,,
Kim Dong-joo,2010,Doosan Bears,0.295,0.407,0.506,0.913,110.0,470.0,387.0,60.0,114.0,22.0,0.0,20.0,67.0,0.0,1.0,67.0,45.0,196.0,15.0,10.0,,,,,
Kim Dong-joo,2009,Doosan Bears,0.353,0.455,0.593,1.048,105.0,426.0,354.0,63.0,125.0,28.0,0.0,19.0,86.0,3.0,1.0,61.0,55.0,210.0,17.0,8.0,,,,,
